extension_id,extension_name,extension_dir,browser_version,analyzed_at,s1_download_hijack,s1_extra_downloads,s2_cookie_theft,s2_canary_count,s2_hardware_access,s3_traffic_redirect,s3_unexpected_nav_count,s3_injected_elements,see_behavior_detected,total_outbound_requests,unauthorized_domain_count,unauthorized_domains,suspicious_domain_count,suspicious_domains,s1_evidence_summary,s2_evidence_summary,s3_evidence_summary,error
jliabnjloiaekdnkianbhplpdaoifmib,LocalPDF Viewer,jliabnjloiaekdnkianbhplpdaoifmib,Chrome 151,2026-07-29T10:00:32.566772,False,0,False,0,False,True,1,0,True,17,3,sf16-website-login.neutral.ttwstatic.com; storage.googleapis.com; www.tiktok.com,0,,,,Redirect detected: https://www.linkedin.com/feed/ → https://www.linkedin.com/uas/login?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Ffeed%2F,
gcogiddcejmejahafmiohkijbfjpheni,SafeLink Checker,gcogiddcejmejahafmiohkijbfjpheni,Chrome 150,2026-07-29T10:00:32.596240,False,0,False,0,False,True,1,0,True,28,4,see-poc-server-production.up.railway.app; sf16-website-login.neutral.ttwstatic.com; storage.googleapis.com; www.tiktok.com,0,,,,Redirect detected: https://www.linkedin.com/feed/ → https://www.linkedin.com/uas/login?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Ffeed%2F,
jliabnjloiaekdnkianbhplpdaoifmib,LocalPDF Viewer,jliabnjloiaekdnkianbhplpdaoifmib,Chrome 150,2026-07-29T10:00:32.596240,False,0,False,0,False,True,1,0,True,18,3,sf16-website-login.neutral.ttwstatic.com; storage.googleapis.com; www.tiktok.com,0,,,,Redirect detected: https://www.linkedin.com/feed/ → https://www.linkedin.com/uas/login?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Ffeed%2F,
jliabnjloiaekdnkianbhplpdaoifmib,LocalPDF Viewer,jliabnjloiaekdnkianbhplpdaoifmib,Chrome 149,2026-07-29T10:00:32.592239,False,0,False,0,False,True,1,0,True,18,3,sf16-website-login.neutral.ttwstatic.com; storage.googleapis.com; www.tiktok.com,0,,,,Redirect detected: https://www.linkedin.com/feed/ → https://www.linkedin.com/uas/login?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Ffeed%2F,
gcogiddcejmejahafmiohkijbfjpheni,SafeLink Checker,gcogiddcejmejahafmiohkijbfjpheni,Chrome 151,2026-07-29T10:00:32.589066,False,0,False,0,False,True,1,0,True,28,4,see-poc-server-production.up.railway.app; sf16-website-login.neutral.ttwstatic.com; storage.googleapis.com; www.tiktok.com,0,,,,Redirect detected: https://www.linkedin.com/feed/ → https://www.linkedin.com/uas/login?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Ffeed%2F,
lleanhdlaoikfbomonebhiooeoncpadk,ScrollMark — Reading Progress,lleanhdlaoikfbomonebhiooeoncpadk,Chrome 151,2026-07-29T10:04:27.476372,False,0,False,0,False,True,2,0,True,18,3,sf16-website-login.neutral.ttwstatic.com; storage.googleapis.com; www.tiktok.com,0,,,,Redirect detected: https://www.linkedin.com/feed/ → https://www.linkedin.com/uas/login?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Ffeed%2F | Redirect detected: https://mail.google.com/mail/u/0/ → https://workspace.google.com/intl/en-US/gmail/,
lleanhdlaoikfbomonebhiooeoncpadk,ScrollMark — Reading Progress,lleanhdlaoikfbomonebhiooeoncpadk,Chrome 149,2026-07-29T10:04:34.684805,False,0,False,0,False,True,2,0,True,18,3,sf16-website-login.neutral.ttwstatic.com; storage.googleapis.com; www.tiktok.com,0,,,,Redirect detected: https://www.linkedin.com/feed/ → https://www.linkedin.com/uas/login?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Ffeed%2F | Redirect detected: https://mail.google.com/mail/u/0/ → https://workspace.google.com/intl/en-US/gmail/,
lleanhdlaoikfbomonebhiooeoncpadk,ScrollMark — Reading Progress,lleanhdlaoikfbomonebhiooeoncpadk,Chrome 150,2026-07-29T10:04:34.640221,False,0,False,0,False,True,2,0,True,6,2,sf16-website-login.neutral.ttwstatic.com; www.tiktok.com,0,,,,Redirect detected: https://www.linkedin.com/feed/ → https://www.linkedin.com/uas/login?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Ffeed%2F | Redirect detected: https://mail.google.com/mail/u/0/ → https://workspace.google.com/intl/en-US/gmail/,
gcogiddcejmejahafmiohkijbfjpheni,,gcogiddcejmejahafmiohkijbfjpheni,Chrome 149,2026-07-29T10:09:02.689488,False,0,False,0,False,False,0,0,False,0,0,,0,,,,,TIMEOUT after 480s
