extension_id,extension_name,extension_dir,browser_version,analyzed_at,s1_download_hijack,s1_extra_downloads,s2_cookie_theft,s2_canary_count,s2_hardware_access,s3_traffic_redirect,s3_unexpected_nav_count,s3_injected_elements,see_behavior_detected,total_outbound_requests,unauthorized_domain_count,unauthorized_domains,suspicious_domain_count,suspicious_domains,s1_evidence_summary,s2_evidence_summary,s3_evidence_summary,error
kkodiihpgodmdankclfibbiphjkfdenh,__MSG_extension_name__,kkodiihpgodmdankclfibbiphjkfdenh,Playwright Default,2026-07-27T15:50:25.063578,False,0,False,0,False,True,1,0,True,26,3,sf16-website-login.neutral.ttwstatic.com; www.parrottalks.com; www.tiktok.com,0,,,,Redirect detected: https://www.facebook.com/ → https://web.facebook.com/?_rdc=1&_rdr,
kkodiihpgodmdankclfibbiphjkfdenh,__MSG_extension_name__,kkodiihpgodmdankclfibbiphjkfdenh,Playwright Default,2026-07-27T15:54:07.625944,False,0,False,0,False,True,1,0,True,26,3,sf16-website-login.neutral.ttwstatic.com; www.parrottalks.com; www.tiktok.com,0,,,,Redirect detected: https://www.facebook.com/ → https://web.facebook.com/?_rdc=1&_rdr,
kkodiihpgodmdankclfibbiphjkfdenh,,kkodiihpgodmdankclfibbiphjkfdenh,Playwright Default,2026-07-27T16:00:33.926252,False,0,False,0,False,False,0,0,False,0,0,,0,,,,,TIMEOUT after 480s
