extension_id,label,see_categories,manifest_version,permissions_count,has_host_permissions,host_permissions_count,has_content_scripts,has_holistic_match_pattern,match_pattern_scope,has_service_worker,has_background_page,sensitive_permissions_count,has_web_accessible_resources,has_externally_connectable,has_csp_declaration,has_update_url,content_script_count,has_file_match_pattern,has_all_frames,content_script_run_at,has_dnr_rules_file,has_redirect_rules,dnr_rule_count,has_optional_host_permissions,optional_permissions_count,has_cookies_permission,has_history_permission,has_tabs_permission,has_bookmarks_permission,has_topSites_permission,has_browsingData_permission,has_downloads_permission,has_geolocation_permission,has_webRequest_permission,has_webRequestBlocking_permission,has_debugger_permission,has_management_permission,has_activeTab_permission,has_clipboardRead_permission,has_clipboardWrite_permission,has_contentSettings_permission,has_privacy_permission,has_proxy_permission,has_nativeMessaging_permission,has_webNavigation_permission,has_declarativeNetRequest_permission,has_offscreen_permission,has_fileBrowserHandler_permission,js_file_count,total_js_size_bytes,fetch_api_count,xhr_api_count,http_api_total_count,has_external_url_in_js,external_domain_count,has_runtime_sendMessage,has_onMessage_listener,has_eval_or_function,has_websocket,has_sendBeacon,has_cookies_getAll,has_cookies_get,has_document_cookie,has_formdata,has_blob,has_arraybuffer,has_setInterval,has_setTimeout,has_json_stringify,has_btoa,has_downloads_onCreated,has_downloads_cancel,has_downloads_download,has_tabs_create,has_declarativeNetRequest_js,outbound_request_count,unauthorized_domain_count,sends_user_data,has_periodic_sync,is_sw_initiated,is_cs_initiated,see_behavior_detected,cookies_stolen,redirect_detected,download_hijacked
Todoist for Chrome_ Planner & Calendar__jldhpllghnbhlbpcmnajkpdmadaolakh_v12.21.7,0,UProf,3,6,True,4,True,False,2,True,False,2,True,False,False,True,1,False,False,2,False,False,0,False,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,17,3525420,2,24,73,True,38,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,0,2,False,False,False,True,True,False,False,False
Todoist for Gmail_ Planner & Calendar__clgenfnodoocmhnlnpknojdbjjnmecff_v7.7.4,0,UProf,3,2,True,4,True,False,2,True,False,0,True,False,False,True,1,False,False,2,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1170697,2,14,63,True,20,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,0,2,False,False,False,True,True,False,False,False
Tonkeeper — wallet for TON__omaabbefbmiijedngplfjmnooppbclkk_v4.7.0,0,"UReq,UProf,LF,CE",3,4,True,3,True,True,3,True,False,2,True,False,False,True,1,True,True,1,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,43,8630536,21,7,78,True,40,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,0,2,False,False,False,True,True,False,False,False
Toolbox for Google Play Store™__fepaalfjfchbdianlgginbmpeeacahoo_v3.0.2,0,"UProf,CE",3,2,True,2,True,False,2,True,False,1,True,False,False,True,1,False,False,3,False,False,0,False,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,463075,2,0,22,True,14,True,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,0,4,False,False,False,True,True,False,True,False
Topaz SigPlusExtLite Extension__dhcpobccjkdnmibckgpejmbpmpembgco_v3.1.16.5,0,UReq,3,3,True,1,True,True,3,True,False,1,True,False,False,True,1,False,True,1,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3,252940,0,0,15,False,0,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0,0,False,False,False,True,True,False,True,False
TouchEn PC보안 확장__dncepekefegjiljlfbihljgogephdhph_v1.0.2.4,0,UReq,3,2,True,1,True,True,3,True,False,1,True,False,False,True,1,False,True,1,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3,19020,0,0,9,False,0,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,0,2,False,False,False,True,True,False,False,False
TradingView Remix_ AI Chart Copilot__fchmejnoncmdhlebgdgifdnehoibalnd_v0.15.15,0,"UProf,CE",3,5,True,2,True,False,2,True,False,1,True,False,False,True,1,False,False,1,False,False,0,True,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,1221495,86,3,112,True,29,True,True,False,False,True,False,True,False,False,True,False,True,True,True,True,False,False,False,True,False,0,8,False,False,False,True,True,False,False,False
TrafficLight__cfnpidifppmenkapgihekkeednfoenal_v3.4.2,0,"UReq,UProf,HH,UDown",3,10,True,2,True,True,3,True,False,5,True,False,False,True,2,False,False,3,False,False,0,False,0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,16,2902820,48,50,269,True,8,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,4,3,True,False,True,True,True,False,False,False
Trancy - AI Translator & Dual Subtitles__mjdbhokoopacimoekfgkcoogikbfgngb_v7.8.5,0,"UReq,UProf,LF",3,3,True,1,True,True,3,True,False,0,True,True,False,True,2,True,True,1,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,10582404,54,6,180,True,56,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,0,0,False,False,False,True,False,False,False,False
Transcribe & Chat to Videos _ Scribe__ciomcelfjhlmkhooaifopphccnalmnpk_v1.6.2,0,UProf,3,2,True,2,True,False,2,True,False,1,True,False,False,True,2,False,False,1,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3,202482,3,0,13,True,4,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,0,2,False,False,False,True,True,False,False,False
